tournament,category
Confederations Cup,1. Mondial
FIFA World Cup,1. Mondial
Olympic Games,1. Mondial
AFC Asian Cup,2. Continental majeur
African Cup of Nations,2. Continental majeur
CONCACAF Championship,2. Continental majeur
Copa América,2. Continental majeur
Gold Cup,2. Continental majeur
Oceania Nations Cup,2. Continental majeur
UEFA Euro,2. Continental majeur
AFC Asian Cup qualification,3. Qualifications & Ligue des nations
African Cup of Nations qualification,3. Qualifications & Ligue des nations
CONCACAF Championship qualification,3. Qualifications & Ligue des nations
CONCACAF Nations League,3. Qualifications & Ligue des nations
CONCACAF Nations League qualification,3. Qualifications & Ligue des nations
CONMEBOL–UEFA Cup of Champions,3. Qualifications & Ligue des nations
Copa América qualification,3. Qualifications & Ligue des nations
FIFA World Cup qualification,3. Qualifications & Ligue des nations
Gold Cup qualification,3. Qualifications & Ligue des nations
Oceania Nations Cup qualification,3. Qualifications & Ligue des nations
UEFA Euro qualification,3. Qualifications & Ligue des nations
UEFA Nations League,3. Qualifications & Ligue des nations
AFC Challenge Cup,4. Regional / sous-continental
AFC Challenge Cup qualification,4. Regional / sous-continental
AFC Solidarity Cup,4. Regional / sous-continental
AFF Championship,4. Regional / sous-continental
AFF Championship qualification,4. Regional / sous-continental
Afro-Asian Games,4. Regional / sous-continental
All-African Games,4. Regional / sous-continental
Amílcar Cabral Cup,4. Regional / sous-continental
Arab Cup,4. Regional / sous-continental
Arab Cup qualification,4. Regional / sous-continental
ASEAN Championship,4. Regional / sous-continental
ASEAN Championship qualification,4. Regional / sous-continental
Asian Games,4. Regional / sous-continental
Balkan Cup,4. Regional / sous-continental
Baltic Cup,4. Regional / sous-continental
Bolivarian Games,4. Regional / sous-continental
British Home Championship,4. Regional / sous-continental
CAFA Nations Cup,4. Regional / sous-continental
CCCF Championship,4. Regional / sous-continental
CECAFA Cup,4. Regional / sous-continental
Central American and Caribbean Games,4. Regional / sous-continental
Central European International Cup,4. Regional / sous-continental
CFU Caribbean Cup,4. Regional / sous-continental
CFU Caribbean Cup qualification,4. Regional / sous-continental
COSAFA Cup,4. Regional / sous-continental
COSAFA Cup qualification,4. Regional / sous-continental
EAFF Championship,4. Regional / sous-continental
EAFF Championship qualification,4. Regional / sous-continental
East Asian Games,4. Regional / sous-continental
Far Eastern Championship Games,4. Regional / sous-continental
Gulf Cup,4. Regional / sous-continental
Indian Ocean Island Games,4. Regional / sous-continental
Melanesia Cup,4. Regional / sous-continental
MSG Prime Minister's Cup,4. Regional / sous-continental
NAFC Championship,4. Regional / sous-continental
NAFU Championship,4. Regional / sous-continental
Nile Basin Tournament,4. Regional / sous-continental
Nordic Championship,4. Regional / sous-continental
Pacific Games,4. Regional / sous-continental
Pacific Mini Games,4. Regional / sous-continental
Pan American Championship,4. Regional / sous-continental
SAFF Cup,4. Regional / sous-continental
South Asian Games,4. Regional / sous-continental
South Asian Super Cup,4. Regional / sous-continental
South Pacific Games,4. Regional / sous-continental
South Pacific Mini Games,4. Regional / sous-continental
Southeast Asian Games,4. Regional / sous-continental
Southeast Asian Peninsular Games,4. Regional / sous-continental
UDEAC Cup,4. Regional / sous-continental
UNCAF Cup,4. Regional / sous-continental
UNIFFAC Cup,4. Regional / sous-continental
WAFF Championship,4. Regional / sous-continental
West African Cup,4. Regional / sous-continental
Windward Islands Tournament,4. Regional / sous-continental
ABCS Tournament,5. Amical / invitation / mineur
African Friendship Games,5. Amical / invitation / mineur
Al Ain International Cup,5. Amical / invitation / mineur
Atlantic Cup,5. Amical / invitation / mineur
Atlantic Heritage Cup,5. Amical / invitation / mineur
Beijing International Friendship Tournament,5. Amical / invitation / mineur
Brazil Independence Cup,5. Amical / invitation / mineur
Canadian Shield,5. Amical / invitation / mineur
CONCACAF Series,5. Amical / invitation / mineur
Copa Artigas,5. Amical / invitation / mineur
Copa Bernardo O'Higgins,5. Amical / invitation / mineur
Copa Carlos Dittborn,5. Amical / invitation / mineur
Copa Chevallier Boutell,5. Amical / invitation / mineur
Copa Confraternidad,5. Amical / invitation / mineur
Copa del Pacífico,5. Amical / invitation / mineur
Copa Félix Bogado,5. Amical / invitation / mineur
Copa Juan Pinto Durán,5. Amical / invitation / mineur
Copa Lipton,5. Amical / invitation / mineur
Copa Newton,5. Amical / invitation / mineur
Copa Oswaldo Cruz,5. Amical / invitation / mineur
Copa Paz del Chaco,5. Amical / invitation / mineur
Copa Premio Honor Argentino,5. Amical / invitation / mineur
Copa Premio Honor Uruguayo,5. Amical / invitation / mineur
Copa Ramón Castilla,5. Amical / invitation / mineur
Copa Rio Branco,5. Amical / invitation / mineur
Copa Roca,5. Amical / invitation / mineur
Cup of Ancient Civilizations,5. Amical / invitation / mineur
Cyprus International Tournament,5. Amical / invitation / mineur
Dakar Tournament,5. Amical / invitation / mineur
Diamond Jubilee International Football Tournament,5. Amical / invitation / mineur
Dunhill Cup,5. Amical / invitation / mineur
Dynasty Cup,5. Amical / invitation / mineur
FIFA 75th Anniversary Cup,5. Amical / invitation / mineur
FIFA Series,5. Amical / invitation / mineur
Four Nations Tournament,5. Amical / invitation / mineur
Four Nations' Cup,5. Amical / invitation / mineur
Friendly,5. Amical / invitation / mineur
Great Wall Cup,5. Amical / invitation / mineur
Guangzhou International Friendship Tournament,5. Amical / invitation / mineur
Hungary Heritage Cup,5. Amical / invitation / mineur
Indonesia Tournament,5. Amical / invitation / mineur
Inter-Allied Games,5. Amical / invitation / mineur
Intercontinental Cup,5. Amical / invitation / mineur
Joe Robbie Cup,5. Amical / invitation / mineur
Jordan International Tournament,5. Amical / invitation / mineur
King Hassan II Tournament,5. Amical / invitation / mineur
King's Cup,5. Amical / invitation / mineur
Kirin Challenge Cup,5. Amical / invitation / mineur
Kirin Cup,5. Amical / invitation / mineur
Korea Cup,5. Amical / invitation / mineur
Lunar New Year Cup,5. Amical / invitation / mineur
Mahinda Rajapaksa Cup,5. Amical / invitation / mineur
Malta International Tournament,5. Amical / invitation / mineur
Mapinduzi Cup,5. Amical / invitation / mineur
Marianas Cup,5. Amical / invitation / mineur
Marlboro Cup,5. Amical / invitation / mineur
Mauritius Four Nations Cup,5. Amical / invitation / mineur
Merdeka Tournament,5. Amical / invitation / mineur
Merlion Cup,5. Amical / invitation / mineur
Millennium Cup,5. Amical / invitation / mineur
"Morocco, Capital of African Football",5. Amical / invitation / mineur
Mukuru 4 Nations,5. Amical / invitation / mineur
Mundialito,5. Amical / invitation / mineur
Navruz Cup,5. Amical / invitation / mineur
Nehru Cup,5. Amical / invitation / mineur
Niamh Challenge Cup,5. Amical / invitation / mineur
OSN Cup,5. Amical / invitation / mineur
Outrigger Challenge Cup,5. Amical / invitation / mineur
Palestine International Championship,5. Amical / invitation / mineur
Philippine Peace Cup,5. Amical / invitation / mineur
Phillip Seaga Cup,5. Amical / invitation / mineur
Prime Minister's Cup,5. Amical / invitation / mineur
Real Madrid 75th Anniversary Cup,5. Amical / invitation / mineur
Rous Cup,5. Amical / invitation / mineur
Scania 100 Tournament,5. Amical / invitation / mineur
Simba Tournament,5. Amical / invitation / mineur
SKN Football Festival,5. Amical / invitation / mineur
Soccer Ashes,5. Amical / invitation / mineur
Superclásico de las Américas,5. Amical / invitation / mineur
The Other Final,5. Amical / invitation / mineur
Three Nations Cup,5. Amical / invitation / mineur
Tournament Burkina Faso,5. Amical / invitation / mineur
Tournoi de France,5. Amical / invitation / mineur
Trans-Tasman Cup,5. Amical / invitation / mineur
Tri Nation Tournament,5. Amical / invitation / mineur
Tri-Nations Cup,5. Amical / invitation / mineur
Tri-Nations Series,5. Amical / invitation / mineur
United Arab Emirates Friendship Tournament,5. Amical / invitation / mineur
Unity Cup,5. Amical / invitation / mineur
USA Cup,5. Amical / invitation / mineur
VFF Cup,5. Amical / invitation / mineur
Vietnam Independence Cup,5. Amical / invitation / mineur
Zambian Independence Tournament,5. Amical / invitation / mineur
Évence Coppée Trophy,5. Amical / invitation / mineur
Benedikt Fontana Cup,6. Non-FIFA
CONIFA Africa Football Cup,6. Non-FIFA
CONIFA Asia Cup,6. Non-FIFA
ConIFA Challenger Cup,6. Non-FIFA
CONIFA European Football Cup,6. Non-FIFA
CONIFA South America Football Cup,6. Non-FIFA
CONIFA World Cup qualification,6. Non-FIFA
CONIFA World Football Cup,6. Non-FIFA
CONIFA World Football Cup qualification,6. Non-FIFA
Corsica Cup,6. Non-FIFA
Coupe de l'Outre-Mer,6. Non-FIFA
ELF Cup,6. Non-FIFA
FIFI Wild Cup,6. Non-FIFA
GaNEFo,6. Non-FIFA
Inter Games,6. Non-FIFA
"International Tournament of Peoples, Cultures and Tribes",6. Non-FIFA
Island Games,6. Non-FIFA
Muratti Vase,6. Non-FIFA
Tynwald Hill Tournament,6. Non-FIFA
Viva World Cup,6. Non-FIFA
World Unity Cup,6. Non-FIFA
Dragon Cup,None
Kuneitra Cup,None
Matthews Cup,None
Miami Cup,None
Nations Cup,None
Open International Championship,None
Palestine Cup,None
Peace Cup,None
TIFOCO Tournament,None
